        Time        A048        A049        A091        A092        A093        A023        A004        A029        A033        A039  
   68614.000      28.243      80.603      28.243      80.604      88.000     -26.969      19.465      32.654      29.997      -3.201
   68615.000      28.243      80.603      28.243      80.604      90.000     -26.973      19.190      32.681      29.997      -3.225
   68616.000      28.243      80.603      28.243      80.604      93.000     -27.173      19.377      32.643      29.997      -3.209
   68617.000      28.243      80.603      28.243      80.604      96.000     -27.243      19.472      32.624      29.997      -3.201
   68618.000      28.243      80.603      28.242      80.604      98.000     -27.203      19.215      32.612      29.997      -3.225
   68619.000      28.243      80.603      28.242      80.604     101.000     -27.178      19.193      32.582      29.997      -3.228
   68620.000      28.243      80.604      28.242      80.604     103.000     -27.368      19.426      32.562      29.997      -3.207
   68621.000      28.243      80.604      28.242      80.604     105.000     -27.372      19.410      32.585      29.997      -3.208
   68622.000      28.243      80.604      28.242      80.604     107.000     -27.417      19.343      32.635      29.997      -3.213
   68623.000      28.243      80.604      28.242      80.604     111.000     -27.433      19.246      32.654      29.997      -3.221
   68624.000      28.243      80.604      28.242      80.604     112.000     -27.371      19.258      32.672      29.997      -3.219
   68625.000      28.243      80.604      28.242      80.604     112.000     -27.314      18.738      32.712      29.997      -3.268
   68626.000      28.243      80.604      28.242      80.604     114.000     -27.288      18.887      32.733      29.997      -3.253
   68627.000      28.243      80.604      28.242      80.604     116.000     -27.447      19.184      32.750      29.997      -3.225
   68628.000      28.243      80.604      28.242      80.604     117.000     -27.482      19.376      32.742      29.997      -3.207
   68629.000      28.243      80.604      28.242      80.604     119.000     -27.443      19.595      32.725      29.997      -3.188
   68630.000      28.243      80.604      28.242      80.604     120.000     -27.355      19.618      32.711      29.997      -3.186
   68631.000      28.243      80.604      28.242      80.604     121.000     -27.388      19.715      32.665      29.997      -3.178
   68632.000      28.243      80.604      28.242      80.604     123.000     -27.346      19.698      32.646      29.997      -3.180
   68633.000      28.243      80.604      28.242      80.604     124.000     -27.428      19.601      32.644      29.997      -3.189
   68634.000      28.243      80.604      28.242      80.604     125.000     -27.371      19.420      32.622      29.997      -3.205
   68635.000      28.242      80.604      28.242      80.604     127.000     -27.426      19.483      32.633      29.997      -3.200
   68636.000      28.242      80.604      28.242      80.604     128.000     -27.325      19.407      32.639      29.997      -3.206
   68637.000      28.242      80.604      28.242      80.604     129.000     -27.490      19.403      32.659      29.997      -3.207
   68638.000      28.242      80.604      28.242      80.604     130.000     -27.245      19.516      32.661      29.997      -3.196
   68639.000      28.242      80.604      28.242      80.604     131.000     -27.410      19.608      32.663      29.997      -3.188
   68640.000      28.242      80.604      28.242      80.604     132.000     -27.409      19.640      32.668      29.997      -3.185
   68641.000      28.242      80.604      28.242      80.604     133.000     -27.338      19.665      32.671      29.997      -3.182
   68642.000      28.242      80.604      28.242      80.604     134.000     -27.145      19.659      32.662      29.997      -3.183
   68643.000      28.242      80.604      28.241      80.604     135.000     -27.132      19.503      32.638      29.997      -3.198
   68644.000      28.242      80.604      28.241      80.604     135.000     -27.149      19.629      32.621      29.997      -3.187
   68645.000      28.242      80.604      28.241      80.605     137.000     -27.070      19.626      32.577      29.997      -3.188
   68646.000      28.242      80.604      28.241      80.605     137.000     -27.274      19.559      32.522      29.997      -3.195
   68647.000      28.242      80.604      28.241      80.605     137.000     -27.177      19.637      32.494      29.997      -3.189
   68648.000      28.242      80.604      28.241      80.605     138.000     -27.315      19.663      32.466      29.997      -3.187
   68649.000      28.242      80.604      28.241      80.605     139.000     -27.190      19.698      32.441      29.997      -3.184
   68650.000      28.242      80.604      28.241      80.605     139.000     -27.247      19.840      32.434      29.997      -3.172
   68651.000      28.242      80.604      28.241      80.605     140.000     -27.119      19.746      32.440      29.997      -3.180
   68652.000      28.242      80.604      28.241      80.605     140.000     -27.116      19.799      32.401      29.997      -3.176
   68653.000      28.242      80.604      28.241      80.605     141.000     -27.175      19.743      32.378      29.997      -3.181
   68654.000      28.242      80.604      28.241      80.605     141.000     -26.944      19.961      32.350      29.997      -3.163
   68655.000      28.242      80.604      28.241      80.605     141.000     -27.107      19.857      32.313      29.997      -3.173
   68656.000      28.242      80.604      28.241      80.605     142.000     -27.248      19.828      32.279      29.997      -3.176
   68657.000      28.242      80.604      28.241      80.605     142.000     -27.236      19.928      32.249      29.997      -3.168
   68658.000      28.242      80.604      28.241      80.605     143.000     -27.211      19.904      32.220      29.997      -3.171
   68659.000      28.242      80.604      28.241      80.605     143.000     -27.041      19.956      32.187      29.997      -3.166
   68660.000      28.241      80.604      28.241      80.605     143.000     -27.022      19.864      32.146      29.997      -3.176
   68661.000      28.241      80.604      28.240      80.605     143.000     -27.128      19.872      32.105      29.997      -3.176
   68662.000      28.241      80.604      28.240      80.605     143.000     -27.170      20.017      32.061      29.997      -3.164
   68663.000      28.241      80.604      28.240      80.605     143.000     -27.286      19.857      32.013      29.997      -3.179
   68664.000      28.241      80.604      28.240      80.605     143.000     -27.260      19.900      31.939      29.997      -3.177
   68665.000      28.241      80.604      28.240      80.605     144.000     -27.186      19.963      31.899      29.997      -3.172
   68666.000      28.241      80.604      28.240      80.605     144.000     -27.042      19.977      31.910      29.997      -3.170
   68667.000      28.241      80.604      28.240      80.605     143.000     -27.198      19.998      31.891      29.997      -3.169
   68668.000      28.241      80.604      28.240      80.605     143.000     -27.218      19.811      31.866      29.997      -3.186
   68669.000      28.241      80.604      28.240      80.605     143.000     -27.021      19.662      31.855      29.997      -3.200
   68670.000      28.241      80.604      28.240      80.605     143.000     -27.020      19.889      31.850      29.997      -3.180
   68671.000      28.241      80.604      28.240      80.605     143.000     -27.001      19.725      31.845      29.997      -3.194
   68672.000      28.241      80.604      28.240      80.605     143.000     -27.095      19.742      31.833      29.997      -3.193
   68673.000      28.241      80.604      28.240      80.605     143.000     -27.255      20.133      31.826      29.997      -3.158
   68674.000      28.241      80.604      28.240      80.605     143.000     -27.084      20.074      31.842      29.997      -3.164
   68675.000      28.241      80.605      28.240      80.605     143.000     -27.054      20.032      31.845      29.997      -3.167
   68676.000      28.241      80.605      28.240      80.605     142.000     -27.095      19.968      31.838      29.997      -3.173
   68677.000      28.240      80.605      28.240      80.605     142.000     -26.964      20.129      31.824      29.997      -3.159
   68678.000      28.240      80.605      28.240      80.605     142.000     -26.953      20.058      31.791      29.997      -3.166
   68679.000      28.240      80.605      28.240      80.605     141.000     -26.763      20.007      31.747      29.997      -3.171
   68680.000      28.240      80.605      28.240      80.605     141.000     -26.981      20.052      31.690      29.997      -3.168
   68681.000      28.240      80.605      28.240      80.605     141.000     -26.989      19.993      31.656      29.997      -3.174
   68682.000      28.240      80.605      28.239      80.605     141.000     -26.920      20.159      31.654      29.997      -3.160
   68683.000      28.240      80.605      28.239      80.605     140.000     -27.012      19.986      31.674      29.997      -3.175
   68684.000      28.240      80.605      28.239      80.605     140.000     -26.833      19.977      31.647      29.997      -3.177
   68685.000      28.240      80.605      28.239      80.605     139.000     -26.883      20.057      31.633      29.997      -3.169
   68686.000      28.240      80.605      28.239      80.605     139.000     -26.761      19.763      31.672      29.997      -3.194
   68687.000      28.240      80.605      28.239      80.605     138.000     -26.648      19.998      31.704      29.997      -3.173
   68688.000      28.240      80.605      28.239      80.605     138.000     -26.433      19.853      31.717      29.997      -3.185
   68689.000      28.240      80.605      28.239      80.605     138.000     -26.359      19.559      31.744      29.997      -3.212
   68690.000      28.240      80.605      28.239      80.605     137.000     -26.622      19.258      31.786      29.997      -3.238
   68691.000      28.240      80.605      28.239      80.605     136.000     -26.814      18.864      31.827      29.997      -3.275
   68692.000      28.240      80.605      28.239      80.606     136.000     -26.869      18.881      31.884      29.997      -3.272
   68693.000      28.240      80.605      28.239      80.606     135.000     -27.140      19.123      31.923      29.997      -3.248
   68694.000      28.240      80.605      28.239      80.606     134.000     -27.163      19.271      31.935      29.997      -3.234
   68695.000      28.240      80.605      28.239      80.606     134.000     -27.100      19.353      31.953      29.997      -3.225
   68696.000      28.240      80.605      28.239      80.606     133.000     -27.070      19.375      31.991      29.997      -3.222
   68697.000      28.240      80.605      28.239      80.606     132.000     -27.008      19.374      32.053      29.997      -3.221
   68698.000      28.240      80.605      28.239      80.606     131.000     -27.030      19.396      32.075      29.997      -3.219
   68699.000      28.240      80.605      28.239      80.606     131.000     -27.107      19.595      32.073      29.997      -3.201
   68700.000      28.240      80.605      28.239      80.606     130.000     -26.963      19.774      32.072      29.997      -3.185
   68701.000      28.240      80.605      28.239      80.606     129.000     -26.893      19.426      32.082      29.997      -3.216
   68702.000      28.240      80.605      28.239      80.606     128.000     -26.915      19.596      32.057      29.997      -3.201
   68703.000      28.239      80.605      28.238      80.606     126.000     -27.017      19.659      32.019      29.997      -3.197
   68704.000      28.239      80.605      28.238      80.606     125.000     -27.177      19.667      31.988      29.997      -3.197
   68705.000      28.239      80.605      28.238      80.606     125.000     -27.016      19.780      32.018      29.997      -3.186
   68706.000      28.239      80.605      28.238      80.606     124.000     -26.905      19.694      32.010      29.997      -3.194
   68707.000      28.239      80.605      28.238      80.606     123.000     -26.984      19.547      31.978      29.997      -3.208
   68708.000      28.239      80.605      28.238      80.606     122.000     -27.042      19.583      31.956      29.997      -3.205
   68709.000      28.239      80.605      28.238      80.606     121.000     -26.956      19.679      31.959      29.997      -3.196
   68710.000      28.239      80.605      28.238      80.606     120.000     -27.053      19.460      31.965      29.997      -3.216
   68711.000      28.239      80.605      28.238      80.606     119.000     -27.022      19.517      31.945      29.997      -3.211
   68712.000      28.239      80.605      28.238      80.606     118.000     -27.022      19.657      31.912      29.997      -3.199
   68713.000      28.239      80.605      28.238      80.606     117.000     -27.105      19.717      31.898      29.997      -3.194
   68714.000      28.239      80.605      28.238      80.606     116.000     -26.965      19.937      31.917      29.997      -3.175
   68715.000      28.239      80.605      28.238      80.606     115.000     -26.770      19.758      31.910      29.997      -3.190
   68716.000      28.239      80.605      28.238      80.606     114.000     -27.070      19.775      31.874      29.997      -3.189
   68717.000      28.239      80.605      28.238      80.606     113.000     -26.889      19.720      31.847      29.997      -3.195
   68718.000      28.239      80.605      28.238      80.606     111.000     -26.886      19.692      31.822      29.997      -3.198
   68719.000      28.239      80.605      28.238      80.606     110.000     -26.918      19.738      31.791      29.997      -3.194
   68720.000      28.239      80.605      28.238      80.606     109.000     -26.976      19.737      31.777      29.997      -3.195
   68721.000      28.239      80.605      28.238      80.606     108.000     -26.898      19.834      31.777      29.997      -3.186
   68722.000      28.239      80.605      28.238      80.606     107.000     -26.849      19.771      31.763      29.997      -3.192
   68723.000      28.239      80.605      28.238      80.606     105.000     -26.654      19.793      31.748      29.997      -3.190
   68724.000      28.239      80.605      28.238      80.606     104.000     -26.704      19.863      31.697      29.997      -3.185
   68725.000      28.239      80.605      28.237      80.606     101.000     -26.555      20.113      31.666      29.997      -3.164
   68726.000      28.239      80.605      28.237      80.606     101.000     -26.553      19.907      31.675      29.997      -3.181
   68727.000      28.238      80.605      28.237      80.606     101.000     -26.502      19.811      31.649      29.997      -3.191
   68728.000      28.238      80.605      28.237      80.606      99.000     -26.584      19.884      31.660      29.997      -3.184
   68729.000      28.238      80.605      28.237      80.606      98.000     -26.585      19.719      31.664      29.997      -3.199
   68730.000      28.238      80.606      28.237      80.606      97.000     -26.539      19.553      31.676      29.997      -3.213
   68731.000      28.238      80.606      28.237      80.606      96.000     -26.726      19.689      31.669      29.997      -3.201
   68732.000      28.238      80.606      28.237      80.606      95.000     -26.568      19.771      31.685      29.997      -3.194
   68733.000      28.238      80.606      28.237      80.606      94.000     -26.582      19.797      31.664      29.473      -3.192
   68734.000      28.238      80.606      28.237      80.606      92.000     -26.774      19.824      31.626      27.813      -3.190
   68735.000      28.238      80.606      28.237      80.606      91.000     -26.567      19.952      31.616      26.166      -3.179
   68736.000      28.238      80.606      28.237      80.606      90.000     -26.512      20.019      31.606      24.735      -3.174
   68737.000      28.238      80.606      28.237      80.606      87.000     -26.697      19.955      31.541      24.392      -3.180
   68738.000      28.238      80.606      28.237      80.606      86.000     -26.681      20.030      31.520      24.781      -3.174
   68739.000      28.238      80.606      28.237      80.606      86.000     -26.668      19.937      31.534      25.355      -3.182
   68740.000      28.238      80.606      28.237      80.606      84.000     -26.724      20.095      31.521      25.717      -3.168
   68741.000      28.238      80.606      28.237      80.606      83.000     -26.544      20.132      31.494      25.640      -3.166
   68742.000      28.238      80.606      28.236      80.606      81.000     -26.659      19.974      31.455      25.544      -3.180
   68743.000      28.238      80.606      28.236      80.606      80.000     -26.736      20.165      31.407      24.947      -3.165
   68744.000      28.238      80.606      28.236      80.606      78.000     -26.668      20.198      31.398      23.996      -3.162
   68745.000      28.238      80.606      28.236      80.606      77.000     -26.720      20.101      31.370      23.922      -3.171
   68746.000      28.238      80.606      28.236      80.606      76.000     -26.742      20.293      31.313      24.356      -3.156
   68747.000      28.237      80.606      28.236      80.606      74.000     -26.627      20.221      31.277      24.939      -3.162
   68748.000      28.237      80.606      28.236      80.606      73.000     -26.674      20.503      31.252      25.557      -3.139
   68749.000      28.237      80.606      28.236      80.606      71.000     -26.568      20.399      31.241      26.058      -3.148
   68750.000      28.237      80.606      28.236      80.606      70.000     -26.697      20.260      31.159      26.135      -3.162
   68751.000      28.237      80.606      28.236      80.606      68.000     -26.899      20.453      31.115      25.874      -3.146
   68752.000      28.237      80.606      28.236      80.606      67.000     -26.792      20.388      31.085      25.655      -3.152
   68753.000      28.237      80.606      28.236      80.607      65.000     -26.905      20.327      31.027      25.558      -3.159
   68754.000      28.237      80.606      28.236      80.607      64.000     -26.940      20.221      31.004      25.463      -3.168
   68755.000      28.237      80.606      28.236      80.607      62.000     -26.878      20.377      30.996      25.484      -3.155
   68756.000      28.237      80.606      28.236      80.607      61.000     -26.854      20.409      30.971      25.538      -3.152
   68757.000      28.237      80.606      28.236      80.607      60.000     -26.708      20.654      30.977      25.591      -3.132
   68758.000      28.237      80.606      28.236      80.607      58.000     -26.716      20.642      30.952      25.682      -3.133
   68759.000      28.237      80.606      28.236      80.607      55.000     -26.623      20.560      30.914      25.922      -3.141
   68760.000      28.237      80.606      28.236      80.607      55.000     -26.794      20.161      30.881      26.075      -3.175
   68761.000      28.237      80.606      28.235      80.607      54.000     -26.902      20.388      30.878      26.047      -3.157
   68762.000      28.236      80.606      28.235      80.607      53.000     -26.806      20.554      30.886      25.934      -3.142
   68763.000      28.236      80.606      28.235      80.607      51.000     -26.848      20.425      30.832      25.821      -3.154
   68764.000      28.236      80.607      28.235      80.607      50.000     -26.755      20.449      30.817      25.731      -3.153
   68765.000      28.236      80.607      28.235      80.607      48.000     -26.769      20.516      30.810      25.640      -3.147
   68766.000      28.236      80.607      28.235      80.607      47.000     -26.745      20.469      30.794      25.628      -3.151
   68767.000      28.236      80.607      28.235      80.607      46.000     -26.675      20.402      30.767      25.666      -3.158
   68768.000      28.236      80.607      28.235      80.607      44.000     -26.740      20.379      30.722      25.713      -3.160
   68769.000      28.236      80.607      28.235      80.607      43.000     -26.762      20.243      30.716      25.787      -3.173
   68770.000      28.236      80.607      28.235      80.607      42.000     -26.740      20.575      30.706      25.880      -3.144
   68771.000      28.236      80.607      28.235      80.607      39.000     -26.664      20.463      30.680      25.886      -3.154
   68772.000      28.236      80.607      28.235      80.607      38.000     -26.814      20.505      30.675      25.783      -3.150
   68773.000      28.236      80.607      28.235      80.607      38.000     -26.676      20.585      30.685      25.661      -3.143
   68774.000      28.236      80.607      28.235      80.607      37.000     -26.611      20.557      30.681      25.577      -3.146
   68775.000      28.235      80.607      28.234      80.607      35.000     -26.769      20.438      30.657      25.585      -3.156
   68776.000      28.235      80.607      28.234      80.607      34.000     -26.691      20.709      30.651      25.649      -3.133
   68777.000      28.235      80.607      28.234      80.607      33.000     -26.629      20.910      30.689      25.722      -3.116
   68778.000      28.235      80.607      28.234      80.607      32.000     -26.643      20.667      30.640      25.765      -3.137
   68779.000      28.235      80.607      28.234      80.607      31.000     -26.617      20.715      30.562      25.827      -3.135
   68780.000      28.235      80.607      28.234      80.607      29.000     -26.814      20.566      30.529      25.910      -3.148
   68781.000      28.235      80.607      28.234      80.607      28.000     -26.677      20.875      30.529      25.947      -3.122
   68782.000      28.235      80.607      28.234      80.607      27.000     -26.390      21.265      30.520      25.935      -3.091
   68783.000      28.235      80.607      28.234      80.607      26.000     -26.457      20.821      30.490      25.881      -3.128
   68784.000      28.235      80.607      28.234      80.607      25.000     -26.544      20.676      30.447      25.823      -3.141
   68785.000      28.235      80.607      28.234      80.607      24.000     -26.687      20.530      30.451      25.758      -3.153
   68786.000      28.235      80.607      28.233      80.607      23.000     -26.561      20.903      30.486      25.712      -3.121
   68787.000      28.235      80.607      28.233      80.607      22.000     -26.420      21.077      30.498      25.671      -3.107
   68788.000      28.235      80.607      28.233      80.607      21.000     -26.416      21.008      30.483      25.902      -3.112
   68789.000      28.234      80.607      28.233      80.607      20.000     -26.634      20.899      30.462      26.351      -3.122
   68790.000      28.234      80.607      28.233      80.607      20.000     -26.584      20.602      30.461      26.844      -3.147
   68791.000      28.234      80.607      28.233      80.607      19.000     -26.408      20.748      30.482      27.006      -3.134
   68792.000      28.234      80.607      28.233      80.608      18.000     -26.506      20.799      30.472      26.561      -3.130
   68793.000      28.234      80.607      28.233      80.608      17.000     -26.460      20.883      30.462      25.943      -3.123
   68794.000      28.234      80.607      28.233      80.608      16.000     -26.597      20.842      30.432      25.648      -3.127
   68795.000      28.234      80.607      28.233      80.608      16.000     -26.468      21.008      30.475      25.677      -3.112
   68796.000      28.234      80.607      28.233      80.608      15.000     -26.363      21.146      30.491      25.747      -3.101
   68797.000      28.234      80.607      28.233      80.608      14.000     -26.565      20.834      30.485      25.760      -3.127
   68798.000      28.234      80.608      28.233      80.608      14.000     -26.378      20.979      30.458      25.740      -3.115
   68799.000      28.234      80.608      28.233      80.608      13.000     -26.608      20.853      30.395      25.685      -3.127
   68800.000      28.234      80.608      28.232      80.608      12.000     -26.412      21.249      30.385      25.599      -3.095
   68801.000      28.233      80.608      28.232      80.608      12.000     -26.339      20.833      30.449      25.534      -3.127
   68802.000      28.233      80.608      28.232      80.608      11.000     -26.712      20.981      30.486      25.555      -3.114
   68803.000      28.233      80.608      28.232      80.608      11.000     -26.619      20.928      30.524      25.588      -3.118
   68804.000      28.233      80.608      28.232      80.608      10.000     -26.705      21.180      30.459      25.567      -3.099
   68805.000      28.233      80.608      28.232      80.608      10.000     -26.704      21.091      30.429      25.560      -3.106
   68806.000      28.233      80.608      28.232      80.608       9.000     -26.610      21.177      30.474      25.601      -3.099
   68807.000      28.233      80.608      28.232      80.608       9.000     -26.324      21.402      30.530      25.682      -3.080
   68808.000      28.233      80.608      28.232      80.608       9.000     -26.515      21.191      30.501      25.825      -3.097
   68809.000      28.233      80.608      28.232      80.608       8.000     -26.395      21.197      30.505      25.928      -3.096
   68810.000      28.233      80.608      28.232      80.608       8.000     -26.384      20.801      30.545      25.886      -3.128
   68811.000      28.233      80.608      28.232      80.608       8.000     -26.271      21.079      30.480      25.823      -3.107
   68812.000      28.233      80.608      28.231      80.608       7.000     -26.226      20.932      30.445      25.837      -3.119
   68813.000      28.232      80.608      28.231      80.608       7.000     -26.596      21.273      30.496      25.841      -3.091
   68814.000      28.232      80.608      28.231      80.608       7.000     -26.559      21.286      30.566      25.761      -3.088
   68815.000      28.232      80.608      28.231      80.608       7.000     -26.083      21.779      30.587      25.687      -3.049
   68816.000      28.232      80.608      28.231      80.608       7.000     -26.149      21.392      30.569      25.806      -3.080
   68817.000      28.232      80.608      28.231      80.608       6.000     -26.374      21.241      30.597      25.962      -3.091
   68818.000      28.232      80.608      28.231      80.608       6.000     -26.560      21.116      30.559      25.959      -3.102
   68819.000      28.232      80.608      28.231      80.608       6.000     -26.552      21.112      30.534      25.987      -3.103
   68820.000      28.232      80.608      28.231      80.608       6.000     -26.391      21.131      30.526      25.979      -3.101
   68821.000      28.232      80.608      28.231      80.608       6.000     -26.530      21.610      30.584      25.750      -3.062
   68822.000      28.232      80.608      28.231      80.609       6.000     -26.042      21.702      30.670      25.104      -3.053
   68823.000      28.232      80.608      28.231      80.609       6.000     -26.275      21.669      30.639      24.719      -3.056
   68824.000      28.232      80.608      28.230      80.609       6.000     -25.801      21.845      30.628      25.014      -3.043
   68825.000      28.232      80.608      28.230      80.609       6.000     -25.860      22.131      30.578      25.531      -3.022
   68826.000      28.231      80.608      28.230      80.609       6.000     -25.978      21.872      30.540      26.023      -3.043
   68827.000      28.231      80.608      28.230      80.609       6.000     -26.037      21.941      30.521      26.001      -3.038
   68828.000      28.231      80.608      28.230      80.609       6.000     -25.916      21.468      30.567      25.713      -3.074
   68829.000      28.231      80.609      28.230      80.609       6.000     -26.259      21.174      30.525      25.676      -3.097
   68830.000      28.231      80.609      28.230      80.609       6.000     -26.337      21.145      30.495      25.853      -3.101
   68831.000      28.231      80.609      28.230      80.609       6.000     -26.308      21.355      30.621      25.866      -3.081
   68832.000      28.231      80.609      28.230      80.609       6.000     -26.108      21.525      30.641      25.736      -3.068
   68833.000      28.231      80.609      28.229      80.609       6.000     -25.844      22.163      30.631      25.784      -3.019
   68834.000      28.231      80.609      28.229      80.609       6.000     -26.123      21.963      30.594      25.885      -3.035
   68835.000      28.231      80.609      28.229      80.609       7.000     -25.974      21.950      30.703      25.906      -3.034
   68836.000      28.230      80.609      28.229      80.609       7.000     -26.196      22.108      30.693      25.987      -3.021
   68837.000      28.230      80.609      28.229      80.609       7.000     -25.953      21.802      30.687      26.122      -3.045
   68838.000      28.230      80.609      28.229      80.609       7.000     -26.159      21.596      30.649      26.064      -3.062
   68839.000      28.230      80.609      28.229      80.609       7.000     -26.161      21.020      30.594      25.921      -3.109
   68840.000      28.230      80.609      28.229      80.609       7.000     -26.161      21.472      30.498      25.758      -3.074
   68841.000      28.230      80.609      28.229      80.609       7.000     -26.161      21.752      30.476      25.562      -3.053
   68842.000      28.230      80.609      28.229      80.609       8.000     -25.990      21.412      30.495      25.393      -3.080
   68843.000      28.230      80.609      28.229      80.609       8.000     -26.176      21.185      30.510      25.383      -3.097
   68844.000      28.230      80.609      28.229      80.609       8.000     -25.947      21.397      30.519      25.400      -3.080
   68845.000      28.230      80.609      28.228      80.609       8.000     -26.082      21.304      30.524      25.349      -3.087
   68846.000      28.230      80.609      28.228      80.609       9.000     -25.978      21.667      30.664      25.285      -3.056
   68847.000      28.229      80.609      28.228      80.609       9.000     -25.881      21.750      30.616      25.253      -3.050
   68848.000      28.229      80.609      28.228      80.610       9.000     -25.744      21.861      30.581      25.337      -3.042
   68849.000      28.229      80.609      28.228      80.610       9.000     -26.040      21.769      30.609      25.461      -3.049
   68850.000      28.229      80.609      28.228      80.610       9.000     -25.890      21.551      30.592      25.566      -3.067
   68851.000      28.229      80.609      28.228      80.610      10.000     -26.318      21.659      30.526      25.641      -3.059
   68852.000      28.229      80.609      28.228      80.610      10.000     -26.190      21.705      30.557      25.650      -3.055
   68853.000      28.229      80.609      28.228      80.610      10.000     -26.182      21.877      30.571      25.643      -3.041
   68854.000      28.229      80.610      28.228      80.610      10.000     -26.054      22.123      30.592      25.794      -3.022
   68855.000      28.229      80.610      28.227      80.610      11.000     -25.951      21.819      30.574      26.058      -3.046
   68856.000      28.229      80.610      28.227      80.610      11.000     -25.893      21.960      30.517      26.140      -3.036
   68857.000      28.228      80.610      28.227      80.610      12.000     -26.029      22.229      30.452      26.045      -3.017
   68858.000      28.228      80.610      28.227      80.610      12.000     -25.873      21.831      30.467      25.832      -3.047
   68859.000      28.228      80.610      28.227      80.610      13.000     -26.185      21.864      30.382      25.696      -3.046
   68860.000      28.228      80.610      28.227      80.610      13.000     -26.069      22.074      30.492      25.717      -3.028
   68861.000      28.228      80.610      28.227      80.610      13.000     -26.159      21.974      30.541      25.661      -3.035
   68862.000      28.228      80.610      28.227      80.610      14.000     -25.893      21.830      30.431      25.724      -3.048
   68863.000      28.228      80.610      28.226      80.610      14.000     -26.012      22.019      30.418      25.954      -3.034
   68864.000      28.228      80.610      28.226      80.610      15.000     -26.111      21.936      30.398      25.414      -3.041
   68865.000      28.228      80.610      28.226      80.610      15.000     -25.848      21.983      30.454      24.956      -3.035
   68866.000      28.227      80.610      28.226      80.610      15.000     -25.727      22.488      30.500      25.152      -2.997
   68867.000      28.227      80.610      28.226      80.610      16.000     -25.766      22.529      30.523      25.598      -2.993
   68868.000      28.227      80.610      28.226      80.610      16.000     -25.912      22.167      30.578      26.000      -3.019
   68869.000      28.227      80.610      28.226      80.610      17.000     -25.673      22.088      30.600      26.091      -3.025
