        Time        A048        A049        A091        A092        A093        A023        A004        A029        A033        A039  
     sfm-UTC       Deg         Deg         Deg         Deg      Meters      Meters       MPSec           C           C       gmPM3  
   68582.000      28.244      80.603       0.000       0.000       0.000     -27.371      18.808      33.130      29.997      -3.252
   68583.000      28.244      80.603       0.000       0.000       0.000     -27.433      18.926      33.074      29.997      -3.242
   68584.000      28.244      80.603       0.000       0.000       0.000     -27.461      18.826      33.054      29.997      -3.252
   68585.000      28.244      80.603       0.000       0.000       0.000     -27.534      18.784      33.039      29.997      -3.256
   68586.000      28.244      80.603       0.000       0.000       0.000     -27.567      19.004      33.028      29.997      -3.235
   68587.000      28.244      80.603       0.000       0.000       0.000     -27.503      19.184      32.999      29.997      -3.219
   68588.000      28.244      80.603       0.000       0.000       0.000     -27.611      19.305      32.953      29.997      -3.209
   68589.000      28.244      80.603      28.243      80.604     -49.000     -27.532      19.519      32.922      29.997      -3.190
   68590.000      28.244      80.603      28.243      80.604     -49.000     -27.179      19.662      32.859      29.997      -3.179
   68591.000      28.244      80.603      28.243      80.604     -49.000     -27.192      19.784      32.824      29.997      -3.168
   68592.000      28.244      80.603      28.243      80.604     -49.000     -27.034      19.871      32.783      29.997      -3.162
   68593.000      28.244      80.603      28.243      80.604     -49.000     -27.326      19.843      32.699      29.997      -3.166
   68594.000      28.244      80.603      28.243      80.604     -50.000     -27.552      19.594      32.619      29.997      -3.190
   68595.000      28.244      80.603      28.243      80.604     -44.000     -27.714      19.235      32.556      29.997      -3.224
   68596.000      28.244      80.603      28.243      80.604     -34.000     -27.729      19.001      32.536      29.997      -3.246
   68597.000      28.244      80.603      28.243      80.604     -23.000     -27.409      19.335      32.535      29.997      -3.215
   68598.000      28.244      80.603      28.243      80.604     -12.000     -27.388      19.367      32.553      29.997      -3.212
   68599.000      28.244      80.603      28.243      80.604      -1.000     -27.381      19.444      32.588      29.997      -3.204
   68600.000      28.244      80.603      28.243      80.604       9.000     -27.504      19.662      32.632      29.997      -3.184
   68601.000      28.244      80.603      28.243      80.604      19.000     -27.710      19.800      32.683      29.997      -3.171
   68602.000      28.244      80.603      28.243      80.604      27.000     -27.744      19.877      32.730      29.997      -3.163
   68603.000      28.244      80.603      28.243      80.604      35.000     -27.692      19.628      32.737      29.997      -3.185
   68604.000      28.244      80.603      28.243      80.604      42.000     -27.371      19.817      32.717      29.997      -3.168
   68605.000      28.244      80.603      28.243      80.604      48.000     -27.616      19.755      32.713      29.997      -3.173
   68606.000      28.243      80.603      28.243      80.604      54.000     -27.595      19.828      32.700      29.997      -3.167
   68607.000      28.243      80.603      28.243      80.604      60.000     -27.348      19.864      32.715      29.997      -3.164
   68608.000      28.243      80.603      28.243      80.604      65.000     -27.315      19.827      32.737      29.997      -3.167
   68609.000      28.243      80.603      28.243      80.604      69.000     -27.455      19.561      32.739      29.997      -3.191
   68610.000      28.243      80.603      28.243      80.604      74.000     -27.437      19.573      32.724      29.997      -3.190
   68611.000      28.243      80.603      28.243      80.604      81.000     -27.274      19.510      32.711      29.997      -3.196
   68612.000      28.243      80.603      28.243      80.604      81.000     -27.405      19.349      32.682      29.997      -3.211
   68613.000      28.243      80.603      28.243      80.604      84.000     -27.326      19.502      32.650      29.997      -3.198
